product_name,product_price,total_review
"SSD EYOTA 128GB SATA III 2.5"" 6GB/S GARANSI RESMI - Bukan SSD 120GB",Rp167.000,13063
SSD 256GB RX7 SATA,Rp261.000,10801
SSD Midasforce 256GB SATA 3 Garansi 3 Tahun Internal PC dan Laptop,Rp287.000,10266
"SSD Midasforce 120GB SATA 3 2.5"" Garansi 3 Tahun Internal PC & Laptop",Rp169.000,10150
SSD 128GB RX7 SATA,Rp167.000,9774
SSD 128GB RX7 GARANSI RESMI 3THN,Rp167.000,8546
SSD Midasforce 128GB SATA 3 Garansi 3 Tahun Internal PC dan Laptop,Rp172.000,8273
SSD 256GB RX7 GARANSI RESMI 3THN,Rp261.000,7049
Midasforce SSD Superlightning 256GB,Rp289.000,6735
SSD Midasforce 512GB SATA 3 Garansi 3 Tahun Internal PC dan Laptop,Rp499.000,6472
"SSD EYOTA 512GB SATA III 2.5"" 6GB/S GARANSI RESMI - Bukan SSD 480GB",Rp477.000,6144
SSD RX7 120GB GARANSI RESMI 3THN,Rp166.000,6731
Midasforce SSD Superlightning 128GB,Rp175.000,5428
"SSD V-GeN 256GB SATA 3 Solid State Drive 2.5"" Inch VGEN",Rp321.000,5395
SSD 512GB RX7 SATA,Rp475.000,5384
"SSD Midasforce 240GB SATA 3 2.5"" Garansi 3 Tahun Internal PC & Laptop",Rp279.000,5272
Midasforce SSD Superlightning 120GB,Rp172.000,5121
SSD 120GB RX7 SATA GARANSI,Rp166.000,5950
V-GeN SSD 128GB 256GB 512GB 1TB 2TB VGEN + HDD Caddy 12.7 mm / 9.5 mm,Rp207.000,5510
SSD RX7 128GB RESMI 3 TAHUN,Rp167.000,4631
"Samsung SSD 870 EVO 250GB 500GB 1TB 2.5"" SATA III Internal SSD SATA3",Rp810.000,4496
"SSD V-GeN 128GB 256GB 512GB 1TB SATA 3 Solid State Drive 2.5"" VGEN",Rp218.000,3710
"SSD V-GeN 512GB SATA 3 Solid State Drive 2.5"" Inch VGEN",Rp511.000,3611
SSD Midasforce 120GB SATA 3 Garansi 3 Tahun Internal PC dan Laptop,Rp169.000,3505
Midasforce SSD Superlightning 512GB,Rp499.000,3251
SSD RX7 256GB GARANSI RESMI 3 TAHUN,Rp261.000,3239
Ssd 120 Gb Midas Force Sata 3 Super Lightning,Rp169.000,3133
"SSD EYOTA 120GB SATA III 2.5"" 6GB/S GARANSI RESMI 5 TAHUN",Rp166.000,3639
SSD V-Gen 256GB - Sata 3 VGen 256 GB,Rp342.000,3076
SSD m2 sata 128gb Midasforce internal PC dan Laptop,Rp172.000,3040
SSD 512GB RX7 GARANSI RESMI 3THN,Rp475.000,2915
"SSD V-GeN 128GB SATA 3 Solid State Drive 2.5"" Inch VGEN",Rp207.000,2835
SSD 256 GB MIDASFORCE SATA 3 6GB/s SUPER LIGHTNING,Rp287.000,2809
"WD Green SSD 240GB Sata 3 - WDC Green 240 GB 2.5""",Rp446.000,3277
PAKET HEMAT SSD 120GB V-GeN + HDD Caddy 12.7 mm / 9.5 mm | DVD to HDD,Rp207.000,3251
SSD 240GB RX7 SATA GARANSI RESMI 3 TAHUN,Rp260.000,2760
SSD M2 NVME / M.2 NVME/ M2NVME 512GB KAIZEN RESMI (GARANSI 5 TAHUN),Rp527.000,2618
"SSD KINGSTON 120GB SATA 2.5""",Rp187.000,3056
Samsung SSD 980 250GB 500GB 1TB M.2 PCIe NVMe 1.4 Gen3 M2 Internal SSD,Rp988.000,2578
SSD V-Gen 512GB - Sata 3 VGen 512 GB,Rp542.000,2467
"V-GeN SSD 256GB SATA 3 Solid State Drive 256 GB Vgen SATA3 2.5"" 240gb",Rp321.000,2466
Adata SSD SU650 120GB,Rp219.999,2434
Midasforce SSD Superlightning 240GB,Rp281.000,2390
SSD M2 NVME / M.2 NVME/ M2NVME 512GB RX7 RESMI (GARANSI 3 TAHUN),Rp527.000,2322
SSD M.2 NVMe 128gb 256gb 512gb 1TB 2TB V-GeN PCIe 3.0 VGEN + BAUT M2,Rp259.000,2322
ADATA SSD SU650 120GB SATA III ( R/W Up to 520 / 450MB/s ),Rp235.000,2674
SSD EYOTA 240GB SATA III GARANSI RESMI 5 TAHUN SSD 240 GB SSD 256 GB,Rp264.000,2276
SSD M2 NVME / M.2 NVME/ M2NVME 256GB KAIZEN RESMI (GARANSI 5 TAHUN),Rp330.000,2599
Ssd 128gb Midasforce Sata 3 Super Lightning,Rp172.000,2211
SSD 128 GB MIDASFORCE SATA III SUPER LIGHTNING,Rp172.000,2165
"SSD EYOTA 256GB SATA III 2.5"" 6GB/S GARANSI RESMI - Bukan SSD 240GB",Rp265.000,2152
Adata SSD SU650 240GB,Rp339.999,2085
SSD ADATA SU650 240GB - SSD SATA 3 / SSD SATA III - SSD 2.5 inch,Rp359.000,2078
SSD M2 NVME / M.2 NVME/ M2NVME 256GB RX7 RESMI (GARANSI 3 TAHUN),Rp325.000,2076
SSD 256GB MIDASFORCE SATA 3 6GB/s SUPER LIGHTNING,Rp287.000,2070
WD SSD Green 240GB - SSD Internal SATA 2.5 inch,Rp485.000,2425
SSD V-GeN Solid State Drive V-GeN 512GB SATA 3 SSD SATA III VGEN,Rp511.000,2032
NVME M.2 256GB MIDASFORCE LIGHTNING MAX SSD NVMe M.2 PCIe Gen3 x4,Rp335.000,2005
SSD M2 SATA M.2 SATA III 2280 256 GB MIDAS FORCE HYPER LIGHTNING,Rp287.000,2004
Samsung SSD 870 EVO 1TB / SSD 1TB,Rp1.450.000,1985
